"","schoolcode","program","lowestscore"
"2259",70502,"Visual Arts",285
"2260",70503,"Visual Arts",209
"2261",70505,"Visual Arts",190
"2262",70507,"Visual Arts",218
"2263",70602,"Visual Arts",280
"2264",70603,"Visual Arts",210
"2265",70604,"Visual Arts",206
"2266",70605,"Visual Arts",202
"2267",70607,"Visual Arts",210
"2268",70701,"Visual Arts",243
"2269",70702,"Visual Arts",214
"2270",70703,"Visual Arts",212
"2271",70704,"Visual Arts",213
"2272",70801,"Visual Arts",204
"2273",70804,"Visual Arts",226
"2274",70901,"Visual Arts",224
"2275",71006,"Visual Arts",228
"2276",71010,"Visual Arts",252
"2277",71101,"Visual Arts",202
"2278",71102,"Visual Arts",220
"2279",71103,"Visual Arts",213
"2280",71104,"Visual Arts",212
"2281",71201,"Visual Arts",210
"2282",80101,"Visual Arts",269
"2283",80105,"Visual Arts",239
"2284",80106,"Visual Arts",221
"2285",80202,"Visual Arts",215
"2286",80802,"Visual Arts",209
"2287",81302,"Visual Arts",208
"2288",90101,"Visual Arts",232
"2289",90102,"Visual Arts",206
"2290",90501,"Visual Arts",243
"2291",90504,"Visual Arts",212
"2292",100102,"Visual Arts",250
"2293",100304,"Visual Arts",195
"2294",100401,"Visual Arts",206
"2295",9010101,"Welding & Fabrication",273
"2296",9010201,"Welding & Fabrication",227
"2297",9040101,"Welding & Fabrication",209
"2298",9050101,"Welding & Fabrication",281
"2299",9070601,"Welding & Fabrication",207
"2300",9090401,"Welding & Fabrication",191
